,id,text,created_at,mario,retweet_count,reply_count,like_count,quote_count,polarity
10796,1601139593612509191,New Super Mario Bros  Clip Revealed at The Game Awards,2022-12-09T09:00:01.000Z,1.0,0,0,0,0,0.023232323232323215
11619,1601122945220300800,Dead cells CastlevaniaVamp survivors MOBILE Laughing at transformers gameYouTube chatMario movieSF6 Big WomanIdris Elba cyberpunk The epic cast of crime boss holy shitAnimal likes maleniaLofi girl in rocket league,2022-12-09T07:53:52.000Z,1.0,0,1,0,0,-0.03333333333333333
11876,1601117457640353793,uwuPS  also new Mario Movie scenes in the show,2022-12-09T07:32:03.000Z,1.0,1,0,6,0,0.13636363636363635
11923,1601116759494643713,Y all  my VOD for got copyright claimed because of the Mario trailer  lmao I m not even monetised and even if I was  I wasn t gonna monetise that stream anyways  so it s not really a big issue  It s just really funny cause it s only blocked in Antarctica,2022-12-09T07:29:17.000Z,1.0,0,1,0,0,0.2125
12603,1601105354955591681,My highlights on the this year s  Kirby wins Best Family Game Hideo Kojima s DS2 Tekken  FE  Engage DLC  LoZ  Tears of the Kingdom wins Most Anticipated Game New clip of Super Mario Bros  Movie  Final Fantasy XVI Elden Ring wins GotY,2022-12-09T06:43:58.000Z,1.0,0,0,0,0,0.20696969696969694
13256,1601097802091675649,to   Bout to opposing   dealNimmo  Y  162MBaker yd GW drive in debut bench Mariota Williams wins   C Affleck  ,2022-12-09T06:13:57.000Z,1.0,1,2,1,0,0.3
13693,1601093704093433858,During   the third trailer for The Super Mario Bros  Movie was revealed  With each teaser of this movie that happens  the more excited I am to see the film next Spring  The Super Mario Bros  Movie hits theaters on April    ,2022-12-09T05:57:40.000Z,2.0,1,0,33,0,0.2569444444444444
14039,1601090190570766336,Did You Know in The Super Mario Bros  Movie Preview  One Scene shows a world map  it suggests that a warp pipe will warp Mario to a Hill with a Yoshi Egg upon it,2022-12-09T05:43:42.000Z,2.0,0,0,1,0,0.3333333333333333
14148,1601088865141678080,My girlfriend is horrified by the super Mario movie and it never ceases to make me laugh  She cried over how he looks,2022-12-09T05:38:26.000Z,1.0,0,0,2,0,0.31666666666666665
14254,1601087721694371841,I m gonna say were an  10  Limited and decent musical performances  zero Crypto NFT talk  Judas  Hades   DS2  Earthblade  D4  amp  FF16 dates  AC6  a nice Mario movie clip  awards were  mostly  spread out  Sonic got dunked on  and the reveal of bad event security ,2022-12-09T05:33:54.000Z,1.0,0,0,4,0,0.08253968253968257
14264,1601087608418770944,Splatoon  Mario   Rabbid  Bayonetta   and Kirby did all win tho,2022-12-09T05:33:27.000Z,1.0,2,0,3,0,0.8
14290,1601087412578693120,EXCLUSIVE  The guy who snuck on stage during has been shot dead by Geoff KeighleyMore on that after another Mario Movie trailer,2022-12-09T05:32:40.000Z,1.0,4,0,53,0,-0.2
14502,1601085847578648576,Recap Of   God Of War Ragnarok Won Awards  A Brand New Mario Clip  The Last Of Us On PC  DS2 Reveal  Brand New Playstation Exclusive Looks  No Spider Man Sneak Peak  Christopher Judge Won Best Performance   Elden Ring Wins GOTY IMO A Great Show  10,2022-12-09T05:26:27.000Z,1.0,1,0,1,0,0.3954545454545455
14653,1601084596426530817,I just finished watching the and I cant stop thinking bout those World Premieres Mario  Crash Bandicoot  Sonic was nominated twice  44 4  I love video games man,2022-12-09T05:21:29.000Z,1.0,0,0,0,0,0.5
14680,1601084332184981507,MY GAME AWARDS LIVE REACTIONS  DEATH STRANDING   HADES II  NEW MARIO MOVIE CLIP  FINAL FANTASY AND MORE  via,2022-12-09T05:20:26.000Z,1.0,4,2,85,0,0.07454545454545454
14899,1601082571471081472,Trailer The Game Awards de Super Mario Bros  O Filme,2022-12-09T05:13:26.000Z,1.0,0,0,6,0,-0.033333333333333354
14972,1601082076169523200, i think i want to nominate this award to mario party ds  piracy is no party  thank you  ,2022-12-09T05:11:28.000Z,1.0,7,1,26,1,0.0
15221,1601080531474534400,Nintendo killed with Bayonetta   Kirby FL  Mario   Rabbits  and Splatoon winning awards  Shout out to Xenoblade for best JRPG and GoTY nods  God of War took home a ton of awards  Can t wait to play it  And I told y all since March  Elden Ring wins GoTY  ,2022-12-09T05:05:19.000Z,1.0,0,0,1,0,0.4
15241,1601080467604017154,so i actually haven t watched the nd trailer for the Mario Bros  Movie  the clip at tho  makes the movie look very very charming  which i guess is to be expected  good to know it takes practice to actually use those pipes XD,2022-12-09T05:05:04.000Z,1.0,0,1,0,0,0.30199999999999994
15507,1601078990374309888,Anyways rating  10  All the games that were announced were awesome  Mario Movie sneak peaks were fantastic Sonic and Genshin both won in their own way And Bill Clinton  Gn,2022-12-09T04:59:12.000Z,1.0,2,0,4,0,0.6666666666666666
15601,1601078448847396864,In the rd Mario Movie teaser trailer  the issue is Chris Pratt s voice is a brooklyn king than the Italian version so mad about this version  This is fine or we will boycott the movie ,2022-12-09T04:57:03.000Z,1.0,0,0,0,0,-0.06944444444444443
16092,1601076442573348864,What a huge night for Nintendo at Award Wind tonight  too bad Xenoblade couldnt pull off Game of the Year  Congrats also to Ubisoft on the win for Mario   Rabbids ,2022-12-09T04:49:05.000Z,1.0,0,0,0,0,0.025000000000000078
16202,1601076013848723456,Anjel Reacts   Super Mario Bros Movie   The Game Awards Sneak Peek  ,2022-12-09T04:47:22.000Z,1.0,0,0,0,0,-0.033333333333333354
16321,1601075569764216832,Mario   Rabbids Sparks of Hope  The Legend of Zelda  Tears of the Kingdom  Splatoon   Kirby and the Forgotten Land  and Bayonetta all won awards today  Not bad  Nintendo  Not bad at all Shame about Xenoblade Chronicles and Pokmon Legends  Arceus though ,2022-12-09T04:45:37.000Z,1.0,1,0,1,0,0.3499999999999999
16400,1601075360321241088,Even though Raven or any character was announced at   we still got stuff like Mario Movie  street figher  and even an Multiversus award  Im not giving up my hopes yet  We should hopefully get some character reveal soon ,2022-12-09T04:44:47.000Z,1.0,0,0,0,0,0.0
16546,1601074825434345472,Some highlights for me    Tekken trailer  amp  Jun Kazama s return since Tekken   The Mario movie trailers Genshin Impact winning over Sonic Frontiers  Though I like both games  Street Fighter VI trailer Elden Ring winning GOTY,2022-12-09T04:42:39.000Z,1.0,0,2,3,0,0.5
16612,1601074575193694208,cool to see Mario   Rabbids Sparks of Hope win sim   strategy but Triangle Strategy not being a nominee for that category was sad  that game was hecking tops  great narrative  very challenging  lots of fun,2022-12-09T04:41:39.000Z,1.0,0,1,0,0,0.2857142857142857
16993,1601073341506678786,The had like  3 games of interest to me  No big titles coming out in the next  3 months  It was impressive to watch all that money on screen but that s about it  I m more excited for the Mario movie than any particular game that was announced ,2022-12-09T04:36:45.000Z,1.0,0,0,0,0,0.23452380952380952
17187,1601072816363044865,So many fun things happening at Genshin Impact winning somethingSuper Mario Movie ClipThe flute guyAnd some random kid shouting out Bill Clinton,2022-12-09T04:34:40.000Z,1.0,0,0,1,0,0.2
18066,1601070877621489664,was really fun and cool to watch   Congratulations to all those that won  as well as the nominees in every category  and I can t wait to play  and watch in terms of the Mario Movie hehe  so much of what was shown today at the show  ,2022-12-09T04:26:58.000Z,1.0,0,0,0,0,0.28333333333333327
18219,1601070570749460480,Ok So Kirby and The Forgotten Land got an award along with Splatoon and Mario   Rabbids Sparks of Hope  Stray Won awards I think and Elden Ring won Game of the Year  I m mostly happy that the nintendo games atleast got an award lmao,2022-12-09T04:25:45.000Z,1.0,0,0,1,0,0.375
18333,1601070355036372992,wow this was a great nightAnnouncements were great  a lot of the awards didn t feel rigged unlike some of them from the last couple years and it had a lot of funny momentsMario trailers looked good and oh my god the GOTY Orchestra     I love so so much,2022-12-09T04:24:53.000Z,1.0,0,0,1,0,0.41875000000000007
18660,1601069720907952128,Me seeing the Mario clip  the epic Christopher Judge speech  Crash Bandicoot  Animal  and the ending of versus everything else in the show ,2022-12-09T04:22:22.000Z,1.0,1,0,0,0,0.1
19042,1601069035915206659,Now that it s over  that was a mid game awards tbh  BUT I M STILL SWEEPING FOR THE MARIO MOVIE BABY       Also  what the fuck was that Bill Clinton line even about anyway  AND WHO WAS THAT RANDOM KID WHO SAID THAT  He clearly wasn t from the Elden Ring team    ,2022-12-09T04:19:39.000Z,1.0,0,0,0,0,-0.24
